"SKU","Name","Category","MSRP","COGS","DTCMargin","Wholesale","Distributor","WSMargin","DistMargin","COGSRatio"
"01","BHB Ketone Salts","Base","68.88","5.43","92.1%","34.44","20.66","84.2%","73.7%","7.9%"
"02","MethylB Complete+ B Complex","Base","48.88","4.6","90.6%","24.44","14.66","81.2%","68.6%","9.4%"
"03","Electrolyte Blend","Base","48.88","5.52","88.7%","24.44","14.66","77.4%","62.3%","11.3%"
"04","GLP-1 Activator Complex","Base","88.88","7.68","91.4%","44.44","26.66","82.7%","71.2%","8.6%"
"05","Magnesium Synergy Matrix","Base","58.88","3.92","93.3%","29.44","17.66","86.7%","77.8%","6.7%"
"06","NeuroCalm BH4 Complex","Base","88.88","5.84","93.4%","44.44","26.66","86.9%","78.1%","6.6%"
"07","Omega-3 DHA/EPA (Algal)","Base","48.88","4.74","90.3%","24.44","14.66","80.6%","67.7%","9.7%"
"08","ToxiBind Matrix","Base","48.88","4.51","90.8%","24.44","14.66","81.5%","69.2%","9.2%"
"09","Creatine HCL+","Advanced","98.88","10.86","89%","49.44","29.66","78%","63.4%","11%"
"10","CATALYST+ Energy Multivitamin","Advanced","98.88","13.58","86.3%","49.44","29.66","72.5%","54.2%","13.7%"
"11","Replenish NAD+","Advanced","108","14.03","87%","54","32.4","74%","56.7%","13%"
"12","Balance+ Gut Repair","Advanced","98.88","12.29","87.6%","49.44","29.66","75.1%","58.6%","12.4%"
"13","BLAST+ Nitric Oxide Stack","Advanced","98","11.81","88%","49","29.4","75.9%","59.8%","12.1%"
"14","NeuroCalm+ (Calm+)","Advanced","128.88","17.61","86.3%","64.44","38.66","72.7%","54.4%","13.7%"
"15","RELAX+ Sleep Support","Advanced","88.88","10.42","88.3%","44.44","26.66","76.6%","60.9%","11.7%"
"16","Clean+ Detox & Liver Health","Advanced","108.88","14.98","86.2%","54.44","32.66","72.5%","54.1%","13.8%"
"17","Teloprime+ Telomere Support","Advanced","188.88","24.15","87.2%","94.44","56.66","74.4%","57.4%","12.8%"
"18","DigestiZorb+ Enzyme Complex","Advanced","48.88","5.58","88.6%","24.44","14.66","77.2%","61.9%","11.4%"
"19","FOCUS+ Nootropic Formula","Advanced","158.88","19.41","87.8%","79.44","47.66","75.6%","59.3%","12.2%"
"20","RISE+ Male Testosterone","Advanced","128.88","20.54","84.1%","64.44","38.66","68.1%","46.9%","15.9%"
"21","FLEX+ Joint & Inflammation","Advanced","98.88","12.72","87.1%","49.44","29.66","74.3%","57.1%","12.9%"
"22","IRON+ Red Blood Cell Support","Advanced","108.88","14.13","87%","54.44","32.66","74%","56.7%","13%"
"23","NeuroCalm BH4+ (Advanced)","Advanced","158.88","8.02","95%","79.44","47.66","89.9%","83.2%","5%"
"24","Histamine Relief Protocol","Advanced","158.88","15.01","90.6%","79.44","47.66","81.1%","68.5%","9.4%"
"25","DESIRE+ Female Hormonal","Women","88.88","11.78","86.7%","44.44","26.66","73.5%","55.8%","13.3%"
"26","Grow+ Pre-Natal Formula","Women","98.88","15.2","84.6%","49.44","29.66","69.3%","48.8%","15.4%"
