"SKU","Name","Category","MSRP","COGS","Wholesale","Distributor","DTCMargin","WSMargin","Changed","Alerts"
"01","BHB Ketone Salts","Base","74.88","5.43","37.44","22.46","92.7%","85.5%","True","PASS"
"02","MethylB Complete+ B Complex","Base","48.88","4.6","24.44","14.66","90.6%","81.2%","False","PASS"
"03","Electrolyte Blend","Base","48.88","5.52","24.44","14.66","88.7%","77.4%","False","PASS"
"04","GLP-1 Activator Complex","Base","94.88","7.68","47.44","28.46","91.9%","83.8%","True","PASS"
"05","Magnesium Synergy Matrix","Base","58.88","3.92","29.44","17.66","93.3%","86.7%","False","PASS"
"06","NeuroCalm BH4 Complex","Base","88.88","5.84","44.44","26.66","93.4%","86.9%","False","PASS"
"07","Omega-3 DHA/EPA (Algal)","Base","48.88","4.74","24.44","14.66","90.3%","80.6%","False","PASS"
"08","ToxiBind Matrix","Base","48.88","4.51","24.44","14.66","90.8%","81.5%","False","PASS"
"09","Creatine HCL+","Advanced","108.88","10.86","54.44","32.66","90.0%","80.1%","True","PASS"
"10","CATALYST+ Energy Multivitamin","Advanced","98.88","13.58","49.44","29.66","86.3%","72.5%","False","PASS"
"11","Replenish NAD+","Advanced","108","14.03","54","32.4","87.0%","74.0%","False","PASS"
"12","Balance+ Gut Repair","Advanced","98.88","12.29","49.44","29.66","87.6%","75.1%","False","PASS"
"13","BLAST+ Nitric Oxide Stack","Advanced","98","11.81","49","29.4","87.9%","75.9%","False","PASS"
"14","NeuroCalm+ (Calm+)","Advanced","128.88","17.61","64.44","38.66","86.3%","72.7%","False","PASS"
"15","RELAX+ Sleep Support","Advanced","88.88","10.42","44.44","26.66","88.3%","76.6%","False","PASS"
"16","Clean+ Detox & Liver Health","Advanced","108.88","14.98","54.44","32.66","86.2%","72.5%","False","PASS"
"17","Teloprime+ Telomere Support","Advanced","198.88","24.15","99.44","59.66","87.9%","75.7%","True","PASS"
"18","DigestiZorb+ Enzyme Complex","Advanced","48.88","5.58","24.44","14.66","88.6%","77.2%","False","PASS"
"19","FOCUS+ Nootropic Formula","Advanced","158.88","19.41","79.44","47.66","87.8%","75.6%","False","PASS"
"20","RISE+ Male Testosterone","Advanced","128.88","20.54","64.44","38.66","84.1%","68.1%","False","PASS"
"21","FLEX+ Joint & Inflammation","Advanced","98.88","12.72","49.44","29.66","87.1%","74.3%","False","PASS"
"22","IRON+ Red Blood Cell Support","Advanced","108.88","14.13","54.44","32.66","87.0%","74.0%","False","PASS"
"23","NeuroCalm BH4+ (Advanced)","Advanced","168.88","8.02","84.44","50.66","95.3%","90.5%","True","PASS"
"24","Histamine Relief Protocol","Advanced","158.88","15.01","79.44","47.66","90.6%","81.1%","False","PASS"
"25","DESIRE+ Female Hormonal","Women","88.88","11.78","44.44","26.66","86.7%","73.5%","False","PASS"
"26","Grow+ Pre-Natal Formula","Women","98.88","15.2","49.44","29.66","84.6%","69.3%","False","PASS"
"27","Revitalizher Postnatal+","Women","138.88","25.58","69.44","41.66","81.6%","63.2%","True","PASS"
"28","Thrive+ Post-Natal GLP-1","Women","128.88","21.63","64.44","38.66","83.2%","66.4%","False","PASS"
"29","Sproutables Infant Tincture","Children","48.88","4.85","24.44","14.66","90.1%","80.2%","False","PASS"
"30","Sproutables Toddler Tablets","Children","58.88","6.74","29.44","17.66","88.6%","77.1%","False","PASS"
"31","Sproutables Children Gummies","Children","58.88","7.35","29.44","17.66","87.5%","75.0%","False","PASS"
"32","ACAT+ Mitochondrial Support","SNP","108.88","12.21","54.44","32.66","88.8%","77.6%","False","PASS"
"33","ACHY+ Acetylcholine Support","SNP","118.88","18.5","59.44","35.66","84.4%","68.9%","True","PASS"
"34","ADO Support+ Purine Metabolism","SNP","108.88","13.54","54.44","32.66","87.6%","75.1%","False","PASS"
"35","BHMT+ Methylation Support","SNP","108.88","14.13","54.44","32.66","87.0%","74.0%","False","PASS"
"36","CBS Support+ Sulfur Pathway","SNP","108.88","12.92","54.44","32.66","88.1%","76.3%","False","PASS"
"37","COMT+ Neurotransmitter Balance","SNP","108.88","15.13","54.44","32.66","86.1%","72.2%","False","PASS"
"38","DAO+ Histamine Balance","SNP","108.88","14.83","54.44","32.66","86.4%","72.8%","False","PASS"
"39","GST+ Cellular Detox","SNP","118.88","20.47","59.44","35.66","82.8%","65.6%","False","PASS"
"40","MAOA+ Neurochemical Balance","SNP","118.88","20.35","59.44","35.66","82.9%","65.8%","False","PASS"
"41","MTHFR+ Folate Metabolism","SNP","118.88","18.46","59.44","35.66","84.5%","68.9%","False","PASS"
"42","MTR+ Methylation Matrix","SNP","118.88","16.54","59.44","35.66","86.1%","72.2%","False","PASS"
"43","MTRR+ Methylcobalamin Regen","SNP","118.88","16.26","59.44","35.66","86.3%","72.6%","False","PASS"
"44","NAT Support+ Acetylation","SNP","118.88","19.39","59.44","35.66","83.7%","67.4%","False","PASS"
"45","NOS+ Vascular Integrity","SNP","118.88","16.68","59.44","35.66","86.0%","71.9%","False","PASS"
"46","RFC1 Support+ Folate Transport","SNP","108.88","14.88","54.44","32.66","86.3%","72.7%","False","PASS"
"47","SHMT+ Glycine-Folate Balance","SNP","108.88","11.98","54.44","32.66","89.0%","78.0%","False","PASS"
"48","SOD+ Antioxidant Defense","SNP","108.88","16.25","54.44","32.66","85.1%","70.2%","False","PASS"
"49","SUOX+ Sulfite Clearance","SNP","108.88","14.44","54.44","32.66","86.7%","73.5%","False","PASS"
"50","TCN2+ B12 Transport","SNP","108.88","14.78","54.44","32.66","86.4%","72.9%","False","PASS"
"51","VDR+ Receptor Activation","SNP","108.88","15.34","54.44","32.66","85.9%","71.8%","False","PASS"
"52","Chaga Mushroom Capsules","Mushroom","64.88","9.77","32.44","19.46","84.9%","69.9%","True","PASS"
"53","Cordyceps Mushroom Capsules","Mushroom","58.88","9.77","29.44","17.66","83.4%","66.8%","False","PASS"
"54","Lions Mane Mushroom Capsules","Mushroom","58.88","7.61","29.44","17.66","87.1%","74.2%","False","PASS"
"55","Reishi Mushroom Capsules","Mushroom","58.88","7.07","29.44","17.66","88.0%","76.0%","False","PASS"
"56","Turkey Tail Mushroom Capsules","Mushroom","58.88","7.07","29.44","17.66","88.0%","76.0%","False","PASS"
"57","Genetic Methylation Testing","Testing","318.88","159.88","159.44","95.66","49.9%","-0.3%","True","DTC_LOW,WS_LOW"
