name,category,delivery_form,product_count,min_dose_mg,max_dose_mg,avg_dose_mg
Micellar Bioperine® (Black Pepper Extract),other,micellar,22,5.0,5.0,5.0
Zinc (Bisglycinate),mineral,standard,13,15.0,20.0,15.76923076923077
Liposomal Methyl Folate (5-MTHF),vitamin,liposomal,12,0.8,1.0,0.8333333333333334
Liposomal Magnesium (Bisglycinate),mineral,liposomal,11,50.0,125.0,65.9090909090909
Metylated Vitamin B2 (Riboflavin-5-Phosphate),vitamin,methylated,10,20.0,25.0,24.5
Liposomal Vitamin B12 (Methylcobalamin +,vitamin,liposomal,9,1.0,2.0,1.2777777777777777
Liposomal Curcumin (95% Curcuminoids),botanical,liposomal,8,50.0,150.0,87.5
Metylated Vitamin B6 (Pyridoxal-5-Phosphate),vitamin,methylated,8,25.0,30.0,27.5
Liposomal N-Acetylcysteine (NAC),amino_acid,liposomal,7,50.0,200.0,100.0
Liposomal Vitamin B12 (Methylcobalamin),vitamin,liposomal,7,1.0,1.0,1.0
Liposomal L-Theanine,amino_acid,liposomal,5,15.0,100.0,73.0
Liposomal Magnesium Bisglycinate,mineral,liposomal,5,10.0,200.0,75.0
Liposomal NAC (N-Acetylcysteine),amino_acid,liposomal,5,50.0,150.0,100.0
Liposomal PQQ (Pyrroloquinoline Quinone),cofactor,liposomal,5,10.0,20.0,16.0
Liposomal Choline (as Alpha-GPC),other,liposomal,4,100.0,100.0,100.0
Liposomal CoQ10 (Ubiquinol),cofactor,liposomal,4,25.0,50.0,43.75
Liposomal Quercetin,botanical,liposomal,4,30.0,100.0,70.0
SAMe (S-Adenosyl Methionine),amino_acid,standard,4,100.0,200.0,150.0
Betaine Anhydrous (Trimethylglycine),amino_acid,standard,3,200.0,250.0,216.66666666666666
C15:0 (Pentadecanoic Acid),lipid,standard,3,30.0,200.0,143.33333333333334
L-Arginine,amino_acid,standard,3,10.0,100.0,40.0
Liposomal Alpha-Lipoic Acid (ALA),cofactor,liposomal,3,100.0,100.0,100.0
Liposomal B9 Folate (5-MTHF),vitamin,liposomal,3,0.8,0.8,0.8000000000000002
Liposomal Glutathione (Reduced),amino_acid,liposomal,3,100.0,150.0,116.66666666666667
Liposomal Magnesium L-Threonate,mineral,liposomal,3,10.0,50.0,36.666666666666664
Liposomal Phosphatidylcholine,lipid,liposomal,3,50.0,100.0,83.33333333333333
Liposomal Quercetin (Aglycone),botanical,liposomal,3,100.0,100.0,100.0
Liposomal Trans-Resveratrol (98%),botanical,liposomal,3,25.0,50.0,41.666666666666664
Liposomal Vitamin C,vitamin,liposomal,3,10.0,500.0,203.33333333333334
Liposomal Vitamin D3 (Cholecalciferol),vitamin,liposomal,3,0.5,0.5,0.5
Liposomal Vitamin K2 (Menaquinone-7),vitamin,liposomal,3,0.1,0.2,0.13333333333333333
Methylated Vitamin B6 (P-5-P),vitamin,methylated,3,25.0,25.0,25.0
Methylcobalamin (B12),vitamin,standard,3,0.5,0.5,0.5
Methylfolate (5-MTHF),vitamin,standard,3,0.0,0.8,0.4000000000000001
Micellar BioPerine® (Black Pepper Extract),other,micellar,3,5.0,50.0,20.0
Niacin (as Niacinamide),vitamin,standard,3,15.0,50.0,26.666666666666668
Pyridoxal-5-Phosphate (B6),vitamin,standard,3,5.0,25.0,11.666666666666666
Riboflavin-5-Phosphate (B2),vitamin,standard,3,5.0,25.0,11.666666666666666
Selenium (L-Selenomethionine),mineral,standard,3,0.2,1.0,0.4666666666666666
Thiamine HCL (B1),vitamin,standard,3,10.0,25.0,15.0
Zinc Bisglycinate,mineral,standard,3,15.0,30.0,20.0
Algal Phospholipid Matrix (carrier base),lipid,standard,2,90.0,90.0,90.0
B6 -- Pyridoxine,vitamin,standard,2,10.0,10.0,10.0
EPA (Eicosapentaenoic Acid) (Algal-derived),lipid,standard,2,120.0,120.0,120.0
Fennel Seed Extract (4:1),other,standard,2,3.0,40.0,21.5
Folinic Acid (Calcium Folinate),mineral,standard,2,0.8,0.8,0.8
