canonical_base,slug,sku,active,desc_len,sum_len,ing_count,img_count,snp_count,richness_score,is_canonical_slug,row_count_in_group,disposition
acat-plus-mitochondrial-support,acat-plus-mitochondrial-support,32,false,0,91,13,1,1,220,true,2,DELETE_ACAT_INACTIVE_OPTION_B
acat-plus-mitochondrial-support,acat-plus-mitochondrial-support-2,FC-ACAT-001,true,91,91,13,1,1,215,false,2,KEEP_AND_RENAME_TO_CANONICAL
achy-plus-acetylcholine-support,achy-plus-acetylcholine-support,FC-ACHY-001,true,82,82,13,1,1,220,true,2,KEEP_CANONICAL_WINNER
achy-plus-acetylcholine-support,achy-plus-acetylcholine-support-2,33,true,0,82,13,1,1,215,false,2,DELETE_LOSER
ado-support-plus-purine-metabolism,ado-support-plus-purine-metabolism,34,true,0,77,11,1,1,220,true,2,KEEP_CANONICAL_WINNER
ado-support-plus-purine-metabolism,ado-support-plus-purine-metabolism-2,FC-ADO-001,true,77,77,11,1,1,215,false,2,DELETE_LOSER
apoe-plus,apoe-plus,FC-APOE-001,true,88,88,0,0,1,70,true,1,DELETE_UNAUTHORIZED_GARY_DIRECTIVE
bhmt-plus-methylation-support,bhmt-plus-methylation-support,35,true,0,73,11,1,1,220,true,2,KEEP_CANONICAL_WINNER
bhmt-plus-methylation-support,bhmt-plus-methylation-support-2,FC-BHMT-001,true,73,73,11,1,1,215,false,2,DELETE_LOSER
cbs-support-plus-sulfur-pathway,cbs-support-plus-sulfur-pathway,FC-CBS-001,true,68,68,12,1,1,220,true,2,KEEP_CANONICAL_WINNER
cbs-support-plus-sulfur-pathway,cbs-support-plus-sulfur-pathway-2,36,true,0,68,12,1,1,215,false,2,DELETE_LOSER
comt-plus-neurotransmitter-balance,comt-plus-neurotransmitter-balance,37,true,0,71,12,1,1,220,true,2,KEEP_CANONICAL_WINNER
comt-plus-neurotransmitter-balance,comt-plus-neurotransmitter-balance-2,FC-COMT-001,true,71,71,12,1,1,215,false,2,DELETE_LOSER
cyp450-plus,cyp450-plus,FC-CYP-001,true,82,82,0,0,1,70,true,1,DELETE_UNAUTHORIZED_GARY_DIRECTIVE
dao-plus-histamine-balance,dao-plus-histamine-balance,38,true,0,66,12,1,1,220,true,2,KEEP_CANONICAL_WINNER
dao-plus-histamine-balance,dao-plus-histamine-balance-2,FC-DAO-001,true,66,66,12,1,1,215,false,2,DELETE_LOSER
gst-plus-cellular-detox,gst-plus-cellular-detox,FC-GST-001,true,83,83,12,1,1,220,true,2,KEEP_CANONICAL_WINNER
gst-plus-cellular-detox,gst-plus-cellular-detox-2,39,true,0,83,12,1,1,215,false,2,DELETE_LOSER
maoa-plus-neurochemical-balance,maoa-plus-neurochemical-balance,40,true,0,65,13,1,1,220,true,2,KEEP_CANONICAL_WINNER
maoa-plus-neurochemical-balance,maoa-plus-neurochemical-balance-2,FC-MAOA-001,true,65,65,13,1,1,215,false,2,DELETE_LOSER
mthfr-plus-folate-metabolism,mthfr-plus-folate-metabolism,FC-MTHFR-001,true,75,75,12,1,1,220,true,2,KEEP_CANONICAL_WINNER
mthfr-plus-folate-metabolism,mthfr-plus-folate-metabolism-2,41,true,0,75,12,1,1,215,false,2,DELETE_LOSER
